Age,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,DistanceFromHome,OverTime,Attrition
40,7277,18,7,2,2,26,No,No
23,6400,5,10,3,2,38,No,No
47,16216,12,12,9,1,23,No,No
53,9481,12,0,0,2,22,Yes,No
27,8876,19,7,6,1,19,No,Yes
53,19407,6,4,1,1,3,No,No
25,12660,2,1,4,4,19,Yes,No
32,16624,12,13,0,3,9,No,No
38,18782,19,1,2,4,28,No,Yes
59,12988,5,13,1,3,20,Yes,No
45,7740,12,14,0,3,7,No,No
26,12953,27,14,6,3,14,No,Yes
55,12978,27,5,4,2,9,No,No
27,14894,17,10,0,4,19,Yes,No
43,6932,29,12,5,3,14,Yes,No
32,16068,17,8,4,1,38,No,No
37,16678,10,0,2,2,36,No,No
54,2802,25,11,6,4,17,No,No
30,19522,23,5,9,3,30,No,No
27,2555,17,8,8,1,9,Yes,No
37,15513,15,7,8,4,33,No,Yes
50,11217,12,10,8,4,25,Yes,No
24,10650,16,5,1,2,14,No,No
41,4625,24,2,2,4,11,No,No
57,13979,19,7,6,2,35,No,No
40,18245,8,8,4,3,14,No,No
47,19248,21,0,1,2,30,Yes,Yes
24,9309,17,11,2,1,4,No,No
40,7121,23,8,9,2,4,No,No
41,17534,5,13,5,1,28,No,No
53,16123,22,14,6,2,8,Yes,No
28,7626,16,5,8,4,2,No,No
54,7622,6,5,0,3,22,No,No
39,19802,8,11,6,1,16,Yes,No
22,8370,25,3,7,2,29,No,No
32,4031,18,0,2,2,30,No,No
49,10672,25,9,3,2,12,No,No
46,10173,12,7,9,4,35,Yes,No
44,9382,15,1,5,4,11,Yes,Yes
52,4406,27,11,9,1,21,Yes,No
51,5586,26,0,6,1,21,No,No
56,16003,9,1,3,4,5,No,No
28,10652,13,0,7,1,20,Yes,No
37,8250,26,0,4,3,37,No,No
47,15272,15,8,0,3,3,No,No
23,12767,10,12,3,4,33,Yes,No
22,3562,16,13,2,1,9,No,No
33,8729,7,0,8,2,9,No,Yes
26,19009,17,12,7,3,4,No,No
58,17647,23,3,0,4,35,No,No
53,7132,26,9,5,1,17,Yes,No
30,8788,21,5,8,4,34,No,No
56,6096,22,6,6,2,24,No,No
40,13975,26,1,3,3,32,No,No
37,8668,7,5,0,4,1,No,No
24,12295,14,6,1,4,8,No,No
41,10061,15,9,4,4,23,No,No
45,10758,21,13,4,2,12,No,No
54,19116,7,9,7,4,12,No,No
45,8871,9,1,5,2,15,No,No
32,16869,19,14,7,2,19,No,No
29,15410,16,1,1,2,26,Yes,No
57,10443,8,9,2,3,29,Yes,No
59,14699,18,6,5,3,22,Yes,No
41,18228,27,11,9,4,21,No,No
56,9238,23,0,2,4,38,No,Yes
46,18413,29,7,5,3,20,No,No
56,4972,18,10,5,1,29,No,No
46,18179,20,12,1,3,4,No,Yes
50,4261,7,2,6,2,7,Yes,No
39,12667,3,10,1,3,28,No,No
39,13054,18,5,5,2,28,No,Yes
23,19760,27,8,0,4,4,No,No
56,16777,10,5,2,1,22,Yes,No
37,6312,7,8,1,4,12,No,No
57,4105,17,6,6,2,3,No,No
54,8122,14,14,3,2,22,No,No
25,9267,24,8,7,2,2,No,No
54,14113,3,1,5,1,24,No,No
35,13089,12,11,9,3,34,Yes,No
42,16418,28,7,3,4,27,No,No
41,15546,13,7,4,4,1,No,No
29,5090,2,1,8,3,8,No,No
28,19947,3,11,6,4,23,No,No
24,6824,5,13,9,1,38,No,No
38,13287,11,3,8,4,6,Yes,No
54,11611,8,13,6,2,22,No,No
33,7842,26,14,0,3,25,No,No
43,18889,23,10,7,1,18,No,Yes
43,11159,23,14,3,3,17,Yes,No
51,16543,12,6,2,1,12,No,No
59,11337,7,10,6,2,6,No,No
59,2617,15,3,2,3,26,No,No
29,16417,24,3,7,4,27,No,No
48,16809,17,5,5,1,8,No,No
48,15734,4,9,4,3,19,No,No
55,8060,29,5,3,4,1,Yes,Yes
42,3346,22,9,7,3,29,No,No
51,13454,25,14,7,3,35,No,No
54,16203,13,2,0,3,14,No,No
49,17885,18,14,8,1,35,No,No
54,16246,1,8,4,4,20,Yes,No
26,8969,16,11,3,2,13,Yes,No
40,11833,13,9,5,1,38,No,No
25,19108,10,13,5,1,8,No,No
56,15319,12,10,1,1,20,No,No
38,6708,2,1,7,2,33,No,No
49,8783,23,5,6,4,26,No,No
51,4548,3,11,0,4,39,No,No
50,8733,10,6,4,4,21,No,No
27,15441,2,11,5,3,9,No,No
56,15107,27,12,3,3,24,No,No
58,12265,23,8,1,3,37,No,No
45,4328,13,12,3,2,17,Yes,No
50,4417,13,2,0,3,24,No,No
52,9488,18,9,6,2,21,No,No
56,17094,3,2,1,4,39,No,Yes
54,15477,27,6,1,3,39,No,No
42,2509,7,13,8,3,13,No,No
53,19144,14,3,4,1,11,No,No
44,12365,20,12,1,2,19,Yes,No
54,4719,29,7,8,4,11,No,No
24,9541,17,12,8,1,13,No,No
39,7787,29,6,0,1,1,No,Yes
46,4119,21,4,2,4,19,No,No
52,11012,12,6,3,1,12,Yes,No
24,3842,25,2,6,2,8,No,Yes
45,13068,16,11,9,2,8,No,No
53,16731,24,1,3,3,12,No,No
43,5990,12,5,1,1,33,No,Yes
44,11810,15,1,6,3,26,No,No
23,10484,25,2,5,1,39,Yes,Yes
48,14719,10,5,2,2,28,No,No
23,2735,25,4,5,2,5,No,No
47,12661,7,7,5,2,8,Yes,No
38,4408,20,8,4,1,25,Yes,No
54,11067,5,10,3,2,27,Yes,No
30,6030,1,2,9,1,23,Yes,No
50,7756,17,11,0,3,30,No,No
47,10662,3,9,9,1,23,No,No
56,7915,13,2,5,3,20,No,No
46,5891,14,2,1,1,18,No,Yes
45,13657,24,12,2,3,18,No,No
34,8451,18,12,7,2,2,No,Yes
28,10507,4,5,9,3,4,No,No
57,11564,18,14,5,2,30,No,No
41,18024,5,14,2,2,33,No,No
22,2577,25,0,6,3,36,No,No
29,10077,16,6,3,1,18,No,No
37,19484,1,11,8,1,37,Yes,Yes
35,16560,21,0,4,4,19,No,No
33,19949,14,13,2,1,28,No,No
44,13035,15,4,1,4,20,No,No
36,12010,9,14,1,1,33,No,No
49,9443,15,9,2,1,12,No,No
55,14454,17,12,1,2,15,No,No
23,10304,25,7,3,4,39,No,No
53,9065,24,3,1,1,2,No,Yes
44,8484,4,4,9,4,29,No,Yes
43,7170,12,3,8,2,10,No,Yes
46,11684,27,11,1,2,2,No,No
43,4692,26,11,8,4,11,Yes,No
43,3748,5,13,5,2,13,No,No
27,13746,29,3,0,3,10,Yes,No
36,15290,5,11,3,3,14,No,No
58,6187,11,7,0,2,18,No,No
54,6518,28,1,5,3,9,Yes,No
29,13802,6,0,3,1,39,Yes,Yes
26,4470,7,2,2,4,28,No,No
25,10889,24,8,2,1,3,No,No
27,17874,14,3,8,4,20,Yes,No
53,8288,24,9,5,2,6,No,No
51,7908,11,4,8,1,27,Yes,No
56,11946,13,1,4,2,2,No,No
37,3422,2,3,1,2,29,No,Yes
34,2919,25,1,7,4,38,No,No
51,13289,7,14,4,4,3,No,No
40,3620,20,1,1,4,16,No,No
38,13760,4,3,3,1,30,No,No
40,19834,27,5,8,3,2,Yes,No
49,4836,8,6,3,4,17,Yes,No
47,7873,20,9,3,4,12,Yes,No
58,4743,29,2,1,1,35,No,No
47,7112,22,2,5,4,1,Yes,No
44,16446,21,9,1,1,15,No,No
30,13604,19,5,6,2,26,No,No
33,15929,13,12,2,4,37,No,No
22,8871,14,11,2,4,21,No,Yes
22,8859,10,2,4,2,31,No,No
55,10363,11,12,2,2,25,No,No
53,5728,2,1,1,2,23,No,No
46,16882,25,7,9,4,24,No,No
22,5391,26,4,8,3,38,No,No
37,6256,9,14,1,3,28,Yes,No
26,18270,17,0,1,3,21,No,No
43,18978,26,2,7,4,18,No,Yes
50,5174,3,9,8,2,36,Yes,No
24,9398,24,7,6,4,35,No,No
33,12647,6,3,2,2,9,Yes,No
47,3293,5,13,8,4,38,No,No
37,4616,5,6,2,4,30,Yes,No
58,8279,22,9,4,2,34,No,No
43,14798,15,11,8,3,32,No,No
50,16653,23,13,2,2,3,No,No
35,13611,17,13,6,1,3,No,No
49,13289,9,1,0,1,28,No,No
26,13897,3,6,3,2,15,No,No
51,15499,20,4,3,4,23,Yes,No
26,3314,26,4,6,1,11,No,No
33,19229,17,5,7,1,32,No,No
37,13041,29,12,0,4,36,No,No
47,4943,27,8,4,4,33,No,Yes
47,12957,10,13,6,3,24,No,No
42,12880,3,5,3,4,39,No,No
57,10283,18,11,3,2,34,No,No
54,13973,18,12,3,2,28,No,No
51,19868,17,14,5,3,37,Yes,No
58,17828,24,13,6,1,7,Yes,No
44,3327,3,7,1,1,4,Yes,No
31,9647,3,6,4,4,37,No,Yes
26,6951,6,8,3,2,1,Yes,No
57,17843,13,3,2,1,1,No,No
55,16135,24,1,6,3,20,No,No
52,8459,29,6,5,3,19,Yes,No
31,2626,15,5,6,2,29,No,No
40,11295,25,0,4,3,10,No,No
53,14141,9,10,5,3,18,Yes,No
22,9696,4,8,4,2,28,No,No
26,14059,14,8,6,4,35,Yes,No
25,5868,5,11,1,4,31,No,No
37,6297,2,1,4,3,27,No,No
45,17614,11,2,5,4,11,No,No
37,16218,9,4,5,4,38,No,No
23,4292,24,4,4,3,5,No,No
49,13553,3,14,9,4,8,No,No
53,5976,27,0,6,3,34,Yes,Yes
48,5917,28,7,9,1,12,Yes,No
41,4145,29,11,7,2,38,No,No
45,17255,9,7,6,2,1,No,No
33,5572,3,3,4,4,31,No,No
56,4354,25,12,0,4,4,No,No
54,7162,2,6,4,4,5,No,No
54,9014,12,14,9,2,30,Yes,No
58,5208,10,14,1,1,24,No,No
33,14194,9,10,4,1,3,No,No
24,12024,15,9,4,2,11,Yes,Yes
22,8956,8,2,1,1,4,Yes,No
54,6712,25,5,4,2,26,Yes,No
31,15724,5,13,3,1,27,No,No
50,10470,11,9,0,3,27,No,No
34,19420,27,12,2,3,6,Yes,No
33,4125,2,9,0,2,15,Yes,No
52,12814,24,11,4,1,30,No,No
23,10473,28,13,3,4,37,No,No
56,11077,15,8,6,1,37,No,Yes
44,10570,6,0,4,3,37,No,Yes
38,11166,8,4,9,3,35,No,No
47,6100,27,3,3,1,23,No,Yes
29,9283,5,7,1,1,6,No,Yes
50,15726,16,10,3,4,4,No,No
47,11646,26,11,1,4,18,Yes,No
31,7471,18,0,7,1,9,Yes,No
47,15990,6,8,2,1,29,Yes,Yes
55,15451,5,5,8,1,13,No,No
28,14812,28,3,3,1,17,No,Yes
25,4490,16,11,5,2,32,No,No
32,7799,13,8,9,1,22,Yes,No
50,15497,28,10,4,4,4,No,No
57,15972,5,4,9,3,5,No,No
46,6880,13,14,0,2,37,Yes,Yes
42,7257,17,4,8,1,13,No,No
57,12895,18,11,0,3,34,No,No
31,18741,8,4,7,2,22,No,No
58,8088,13,0,8,3,23,Yes,Yes
30,19850,29,0,8,1,3,Yes,No
45,7444,19,7,0,1,34,No,No
56,15895,26,11,1,4,32,Yes,No
56,19572,3,7,0,1,21,No,No
57,6743,24,11,9,1,21,No,No
39,12416,8,14,1,2,11,No,No
53,12484,2,14,9,4,39,No,No
45,4259,8,5,7,2,4,No,No
44,11681,27,11,4,3,1,Yes,No
53,4982,13,10,6,1,28,No,No
58,3451,13,12,1,3,24,No,No
33,4579,1,3,7,2,35,No,No
34,5217,6,1,5,1,13,Yes,No
44,12192,24,13,7,1,34,No,No
46,9811,19,1,0,2,11,No,No
56,3268,16,8,0,2,36,Yes,No
51,7990,8,14,6,2,17,Yes,No
38,18034,28,4,7,2,35,Yes,No
41,9145,1,3,2,2,18,No,Yes
46,7732,27,9,4,1,22,Yes,No
43,13985,27,12,0,2,24,Yes,No
34,8297,16,0,6,1,19,No,Yes
40,14842,9,6,4,1,37,No,No
57,10538,13,2,7,2,39,Yes,No
33,18502,11,5,7,2,21,Yes,Yes
40,15587,13,4,8,4,8,Yes,No
33,7373,25,4,6,1,28,Yes,No
30,3981,21,10,0,2,5,No,No
28,12593,10,4,2,2,17,Yes,No
49,16922,4,0,7,2,37,Yes,No
35,18938,27,0,2,4,36,No,Yes
52,10143,6,2,7,4,19,No,No
40,18208,28,13,0,3,27,No,No
37,13771,7,11,4,1,34,No,No
26,19716,5,9,3,3,11,No,Yes
56,15100,11,3,4,2,12,No,No
33,13498,13,4,7,4,21,No,Yes
46,16795,26,1,9,4,11,No,Yes
42,13182,25,7,3,3,39,No,No
57,18880,19,10,3,4,28,Yes,No
44,11019,23,10,2,2,5,No,No
37,5800,10,13,6,4,17,Yes,No
35,9222,10,1,2,3,20,No,No
52,9718,11,8,2,2,12,No,No
26,5554,21,1,9,3,6,No,No
56,16075,7,12,4,4,17,Yes,No
44,10470,18,8,4,3,19,No,No
50,4643,4,6,5,3,26,No,No
32,12003,2,14,7,1,32,No,Yes
39,17649,14,7,9,4,6,No,No
33,14675,13,14,5,4,36,No,Yes
30,10856,29,10,0,3,38,No,No
31,17570,12,1,7,1,11,No,No
38,3322,7,6,7,4,33,No,Yes
59,19827,2,11,8,2,24,Yes,No
28,16789,13,5,8,3,23,No,No
34,8650,14,3,1,4,15,No,No
30,6925,27,6,1,2,27,No,No
48,18532,17,13,2,4,11,Yes,No
